fieldtrip_id	name	start_date	end_date
1	Feb 1887	1887-02-03	1887-02-16
2	Feb 1888	1888-02-04	1888-02-17
3	January 1894	1894-01-24	1894-02-19
4	July 1894	1894-07-10	1894-07-15
5	June 1889	1889-06-24	1889-06-30
6	May 1888	1888-05-02	1888-05-09
7	May 1890	1890-05-10	1890-05-24
8	May-June 1898	1898-05-23	1898-06-08
9	October 1889	1889-10-25	1889-11-18
10	October 1892	1892-10-09	1892-10-12
11	October 1893	1893-09-10	1893-10-26
12	Photo 1: August 1895	1895-08-01	1895-08-05
13	Photo 2: August 1895	1895-08-07	1895-08-14
14	Photo 3: August 1895	1895-08-20	1895-09-03
15	Photo 4: September 1895	1895-09-05	1895-09-15
16	Photo 5: September 1895	1895-09-15	1895-09-22
