place_id	name	latitude	longitude
1	Aaby	57.1652	9.74127
2	Aagaard	55.5894	9.41408
3	Aalbæk	57.5955	10.4132
4	Aalborg	57.0502	9.92384
5	Aale	55.8863	9.56231
6	Aalsø	56.3721	10.8522
7	Aarestrup	56.8217	9.74733
8	Aarhus	56.159	10.2072
9	Aarslev	56.4011	10.1499
10	Aasted	57.4348	10.3768
11	Åbenrå	55.0505	9.41294
12	Åby  Åbyen	57.564	10.03
13	Æbletoft	56.1971	10.6814
14	Ågerup mølle	55.6909	12.1765
15	Aggersbøl	55.7974	9.64535
16	Agri	56.2311	10.5237
17	Ajdt	56.3168	9.78814
18	Ajstrup	57.1763	9.98349
19	Åkjær	56.1089	9.86729
20	Albæk	57.2336	10.4234
21	Aldal	56.8096	9.80168
22	Alken	56.0536	9.84777
23	Alling	56.1143	9.73293
24	Almind	55.567	9.48861
25	Almind banker	55.5689	9.48991
26	Als	54.9661	9.77944
27	Alstrup	56.647	10.0116
28	Alstrup bakker	57.2777	9.75487
29	Amaliegård	56.6234	10.1593
30	Amdal	56.5383	9.51015
31	Ammitsbøl	55.6462	9.41426
32	Andrup	55.3582	9.3877
33	Arden Station	56.7703	9.86226
36	Aså	57.1481	10.4203
37	Astrup	57.4803	10.097
38	Åstrup	57.4392	9.93612
39	Attrup, Koed sogn	56.3881	10.557
40	Avlum	56.2684	8.7991
41	Avning	56.433	10.3773
42	Baastrup Mark	56.0021	9.94875
43	Baggesvogn	57.5079	10.1472
44	Balle	55.7106	9.37577
45	Balle	56.317	10.3779
46	Barholt	57.4081	10.1597
48	Bastruphøj	56.3119	10.2096
49	Bavnhøj	56.8263	9.75958
50	Bedsted	56.8096	8.40515
52	Bendstrup	56.3644	10.3296
53	Bilsbæk	55.9294	10.1107
54	Bindslev	57.5347	10.172
55	Bislev	56.9495	9.6156
56	Bjærgby	57.5171	10.0454
57	Bjærge	55.7847	9.85819
58	Bjærggrav	56.4904	9.89689
59	Bjedstrup	56.0663	9.85405
60	Bjerre	55.787	9.84788
61	Blanke	55.4985	9.87607
62	Blegind	56.0699	10.0732
63	Bodholm	56.359	10.1304
64	Boel	56.3501	8.30621
66	Boelshøj	56.6995	10.1407
67	Boes	56.0545	9.79954
68	Bogensholm	56.2107	10.5646
69	Bøgsted	57.4741	10.1043
70	Bolle	57.1379	10.2548
71	Boller	57.3861	10.0963
72	Borbjærg	56.4021	8.75505
73	Børglum	57.3661	9.83422
74	Børglum kloster	57.3718	9.79945
75	Boring	55.8694	9.59906
76	Bornholm	55.1042	8.7073
77	Borre	54.9979	12.451
78	Borup	57.4013	10.087
79	Borup Mark	57.4005	10.0793
80	Boslunde	55.3028	11.2721
81	Brabrand	56.16	10.1095
83	Brædstrup	55.9737	9.61434
84	Brændskov	57.2105	9.90967
85	Bræsten	55.6961	9.38447
86	Bragholdt	57.5637	10.1974
87	Bramstrup	56.3606	10.1506
88	Brandrup	55.5213	9.46682
89	Brandstrup	56.0763	9.80891
90	Brandstrup	56.2724	10.2813
91	Brandstrup	56.3645	9.50595
92	Bratbjerg	56.7935	9.66936
93	Bratten	57.5169	10.4602
94	Bremerholm	55.6775	12.5842
95	Brodgård	55.2247	10.0387
96	Brøndbyvester	55.6481	12.41
97	Brønderslev	57.2728	9.9442
98	Brønderup	57.4326	10.0157
