story_id	publication_info
1	DS_II_D_5
2	JAH_IV_348
3	DS_VII_1045
4	JFm_X_42
5	DSkv_0_11e
6	Unpub_BJK_103
7	JFm_X_79c
8	DSkv_0_19Ed
9	JFm_XI_102
10	JFm_XI_23C
11	JFm_X_46e
12	DSkv_0_4_Anm.
13	DSkv_0_59
14	Unpub_BJK_111
15	Unpub_BJK_112
16	DS_II_E_2
17	JAH_VI_248
18	DS_VI_139
19	DS_III_303
20	Unpub_BJK_117
21	DS_III_127
22	JAH_V_505
23	JAH_I_212
24	Æv_0_1248
25	DSkv_0_78
26	DS_I_553
27	DS_II_A_150
28	DS_IV_149
29	DS_IV_627
30	DS_IV_149
31	Unpub_BJK_128
32	JAT_VI_781
33	DS_III_1236
34	DS_III_1712
35	DS_III_1589
36	DS_III_1873
37	Unpub_BJK_134
38	DS_VII_1299
39	Unpub_BJK_136
40	Unpub_BJK_137
41	DS_VI_1248
42	Unpub_BJK_139
43	JAH_I_383
44	DS_VII_1409
45	DS_VI_593
46	DS_II_E_156
47	Unpub_BJK_144
48	MA_I_404
49	JAH_VI_81
50	Unpub_BJK_203
51	Unpub_BJK_204
52	DSkv_Till_3
53	DS_V_1028
54	DS_II_C_115
55	DS_II_C_110
56	DS_II_C_90
57	DS_II_C_66
58	DS_VII_447
59	DS_VII_437
60	DS_II_A_1
61	JAH_VI_85
62	DS_II_F_14
63	Unpub_BJK_301
64	DS_VI_428
65	DS_II_G_267
66	DS_I_576
67	Æv_0_1360
68	Unpub_BJK_305
69	JAT_VI_797
70	Æv_0_1359
71	Unpub_BJK_308
72	DSkv_0_43
73	Unpub_BJK_310
134	DS_III_303
75	DS_VI_1270
76	JAH_II_256
77	JAH_II_271
78	Unpub_BJK_315
79	JAH_II_183
80	JAH_V_531
81	JAH_V_535
82	JAT_VI_796
83	JAH_V_48
84	JAH_V_172
85	JAH_II_358
86	JAH_V_174
87	JAH_II_358
88	JAH_I_43
89	JAH_I_37
90	JAH_V_75
91	Unpub_BJK_328
92	JAH_II_201
93	Unpub_BJK_330
94	DSkv_0_13
95	JAH_IV_397
96	JAH_IV_48
97	JAH_IV_41
98	JAH_IV_42
99	JAH_II_331
100	JAH_V_364
101	JAH_II_141
102	JAH_II_102
103	JAH_V_27
104	JAH_I_84
105	FK_0_551
106	Unpub_BJK_343
107	FK_0_2
108	DSnr_IV_452
109	FK_0_586
110	JAT_VI_1129
111	DS_III_1549
112	Unpub_BJK_401
113	JAH_VI_738
114	DS_VII_738
115	JAH_VI_738
116	DS_I_1179
117	Unpub_BJK_406
118	Unpub_BJK_407
119	Unpub_BJK_408
120	DS_VII_887
121	Unpub_BJK_410
122	DS_VII_1181
123	JAH_V_240
124	JAH_V_540
125	JAH_V_541
126	JAH_V_240
127	DS_II_G_113
128	DS_II_G_100
129	Unpub_BJK_418
130	DS_III_445
131	DS_VII_292
132	DS_I_43
133	DS_I_402
74	JFm_X_46e
135	Unpub_BJK_424
136	Unpub_BJK_425
137	KO_I_73
138	Unpub_BJK_427
139	Unpub_BJK_428
140	JAH_V_66
141	JAT_VI_896
142	DS_IV_1027
143	DS_VII_285
144	FK_0_400
145	DS_VII_1182
146	DS_VII_146
147	Unpub_JPP_106
148	DS_IV_1134
149	DS_V_975
150	DS_IV_948
151	DS_IV_1486
152	DS_IV_1485
153	DS_IV_1488
154	DS_IV_1465
155	JAT_II_56
156	DSnr_VI_65
157	DS_VI_897
158	DS_V_252
159	DS_IV_1052
160	DS_IV_1592
161	DSnr_II_E_105
162	DS_IV_1605
163	DS_III_1850
164	DS_IV_1408
165	DS_IV_687
166	DS_V_1706
167	DS_V_859
168	DSnr_II_G_138
169	DSnr_II_C_10
170	Unpub_JPP_220
171	JAT_VI_905
172	JAT_V_320
173	DSnr_II_D13
174	DSnr_I_124
175	DSnr_I_324
176	DS_VI_429
177	DS_VI_433
178	DS_VI_1314
179	DS_VII_565
180	DSnr_I_901
181	DSnr_II_B_203
182	DSnr_II_B_212
183	Unpub_JPP_411
184	DSnr_I_286
185	DS_VII_1274
186	DS_VII_491a
187	DS_VI_191
188	DS_VII_698
189	DSnr_III_1380
190	DSnr_II_C_91
191	DSnr_IV_574
192	DS_VI_167
193	DSnr_VI_130
194	DSnr_II_D_63
195	DSnr_VI_114
