pers_id	pla_id	person_name	place	lat	lon	place_type	core_informant
6	384	Gerhard Peter Andersen	Lørslev	57.4284	10.0853	residence	0
41	336	P. Chr. Christensen	Knebel	56.2137	10.4859	residence	0
48	139	Kristen Ebbesen	Egtved	55.6151	9.30973	residence	0
54	652	Niels Feldballe	Torsager	56.3435	10.4589	residence	0
57	20	Kirsten Marie Frederiksdatter	Albæk	57.2336	10.4234	residence	0
59	811	Jens Gudesen	Kjeldstrup	56.6818	9.92075	residence	0
61	817	Mette Marie Hansdatter	Krarup mølle	56.5707	8.95567	residence	0
65	398	Jensine Hansen	Madum Sø	56.8064	9.93258	residence	0
69	870	Søren Hansen	Skjolde	55.7986	9.9459	residence	0
69	243	Søren Hansen	Hårup	56.2828	10.2189	residence	0
77	721	S. L. Høeg	Voldum	56.3664	10.1647	residence	0
90	540	(Ane) Margrete Jensdatter	Skjødstrup	56.2635	10.3033	birthplace	1
90	405	(Ane) Margrete Jensdatter	Mejlby	56.3007	10.2134	deathplace	1
90	405	(Ane) Margrete Jensdatter	Mejlby	56.3007	10.2134	residence	1
104	190	Jens Jensen	Gjedved	55.946	9.8582	residence	0
104	836	Jens Jensen	Nordrup	55.4822	11.4157	residence	0
106	19	Jeppe Jensen	Åkjær	56.1089	9.86729	residence	0
108	374	Kristen Peder Jensen	Linderumgårds mark	57.4374	10.1654	residence	0
110	813	Lavst Jensen	Kokholm	56.4779	9.49942	residence	0
111	783	Niels Jensen	Glenstrup	56.5842	9.85317	residence	0
111	435	Niels Jensen	Nørre Tranders	57.0327	9.99886	residence	0
112	170	Niels Kristian Jensen	Fredbjærg	56.8085	9.29411	residence	0
123	615	Peder Johansen	Svejstrup	56.0714	9.83801	birthplace	1
123	110	Peder Johansen	Dakbjærg	56.053	9.83623	deathplace	1
123	175	Peder Johansen	Fuldbro Mølle	56.0245	9.8344	residence	1
124	137	Marie Jonsen	Egholt	55.5306	9.28247	residence	0
128	775	Jakob Jørgensen	Firgårde	56.0878	9.80719	residence	0
130	768	Søren Jørgensen	Engesvang	56.171	9.3528	residence	0
130	22	Søren Jørgensen	Alken	56.0536	9.84777	residence	0
144	313	Johanne Marie Kristensdatter	Jerslev	57.285	10.0923	residence	0
144	673	Johanne Marie Kristensdatter	Ugilt	57.4252	10.1369	residence	0
150	147	Jens Kristensen	Ersted	56.8247	9.77472	birthplace	1
150	147	Jens Kristensen	Ersted	56.8247	9.77472	deathplace	1
150	147	Jens Kristensen	Ersted	56.8247	9.77472	residence	1
151	510	Jokum Kristensen	Sæsing	57.3728	10.1742	residence	0
158	695	Bertil (Bærtel) Krog	Vester Hassing	57.0652	10.1201	residence	0
182	93	Niels Madsen	Bratten	57.5169	10.4602	residence	0
187	720	Jens Mark	Vokslev	56.9665	9.68121	residence	0
189	59	A. J. Meldgaard	Bjedstrup	56.0663	9.85405	residence	0
191	205	Else Marie Mikaelsdatter	Grindsted	57.1472	10.0459	residence	0
205	455	Jens Kr. Kristensen Mosen	Øster Brønderslev	57.2481	9.99782	residence	0
212	828	A. C. Nielsen	Malle, Løgstør	56.9205	9.23955	residence	0
217	831	Kristen Nielsen	Mosehusene, Jetsmark	56.5276	9.92211	residence	0
217	706	Kristen Nielsen	Vilsted	56.9106	9.28803	residence	0
225	137	Rasmus Nørregaard	Egholt	55.5306	9.28247	residence	0
235	63	Kirsten Marie Pedersdatter	Bodholm	56.359	10.1304	birthplace	1
235	279	Kirsten Marie Pedersdatter	Hornslet	56.3126	10.3167	deathplace	1
235	280	Kirsten Marie Pedersdatter	Hornslet Mark	56.3159	10.304	residence	1
238	829	Henrik Pedersen	Maribo	54.7743	11.5091	residence	0
240	807	Jens Pedersen	Jævngyde	56.1125	9.81866	residence	0
241	79	Jens Peter Pedersen	Borup Mark	57.4005	10.0793	birthplace	1
